fixture_id,league_id,home_team,away_team,goals_home,goals_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,corner_kicks_home,corner_kicks_away
1187111,11,Fortaleza EC,Nacional Potosí,5.0,0.0,2.0,0.0,1.0,0.0,4,3
1187112,11,Union La Calera,Universidad Catolica,0.0,1.0,1.0,2.0,,,11,3
1187113,11,Internacional,Real Tomayapo,0.0,0.0,2.0,1.0,,,12,0
1187114,11,Racing Club,RB Bragantino,3.0,0.0,2.0,2.0,0.0,1.0,4,5
1187115,11,Independiente Medellin,Cesar Vallejo,4.0,2.0,0.0,1.0,,,6,3
1187116,11,Lanus,Deportivo Garcilaso,2.0,1.0,1.0,1.0,0.0,1.0,8,1
1187117,11,Metropolitanos FC,Cuiaba,0.0,2.0,,,,,3,2
1187118,11,Cruzeiro,Alianza Petrolera,3.0,3.0,3.0,1.0,,,7,1
1187119,11,Coquimbo Unido,Sportivo Luqueno,1.0,0.0,3.0,4.0,,,3,2
1187120,11,Delfin SC,Belgrano Cordoba,1.0,1.0,3.0,5.0,,,9,2
1187121,11,Union La Calera,Cruzeiro,0.0,0.0,2.0,3.0,,,6,5
1187122,11,Deportivo Garcilaso,Cuiaba,1.0,1.0,2.0,2.0,1.0,1.0,7,2
1187123,11,Sportivo Trinidense,Nacional Potosí,2.0,0.0,2.0,1.0,,,4,3
1187124,11,Argentinos JRS,Corinthians,1.0,0.0,5.0,2.0,0.0,1.0,4,4
1187125,11,Alianza Petrolera,Universidad Catolica,1.0,3.0,2.0,3.0,,,1,1
1187126,11,Danubio,Atletico Paranaense,0.0,1.0,1.0,1.0,,,5,5
1187127,11,Coquimbo Unido,Racing Club,1.0,2.0,2.0,2.0,,,7,1
1187128,11,RB Bragantino,Sportivo Luqueno,2.0,1.0,3.0,2.0,,,6,1
1187129,11,Real Tomayapo,Belgrano Cordoba,0.0,2.0,2.0,2.0,0.0,1.0,3,4
1187130,11,Rayo Zuliano,Sportivo Ameliano,0.0,4.0,3.0,2.0,,,4,4
1187131,11,Nacional Asuncion,Racing Montevideo,2.0,2.0,,,,,7,2
1187132,11,Metropolitanos FC,Lanus,0.0,2.0,4.0,1.0,,,8,2
1187133,11,Fortaleza EC,Boca Juniors,4.0,2.0,4.0,3.0,1.0,0.0,5,7
1187134,11,Always Ready,Cesar Vallejo,2.0,0.0,0.0,4.0,,,9,4
1187135,11,Independiente Medellin,Defensa Y Justicia,2.0,1.0,3.0,4.0,,,2,9
1187136,11,Delfin SC,Internacional,1.0,2.0,2.0,3.0,,,2,3
1187137,11,Racing Montevideo,Argentinos JRS,2.0,1.0,1.0,2.0,,,3,9
1187138,11,Nacional Asuncion,Corinthians,0.0,2.0,3.0,1.0,1.0,0.0,8,6
1187139,11,Cesar Vallejo,Independiente Medellin,1.0,5.0,2.0,1.0,,,6,2
1187140,11,Real Tomayapo,Internacional,0.0,2.0,3.0,1.0,1.0,0.0,1,14
1187141,11,Alianza Petrolera,Cruzeiro,0.0,3.0,3.0,2.0,,,2,9
1187142,11,Sportivo Ameliano,Danubio,2.0,1.0,1.0,1.0,,,7,5
1187143,11,Always Ready,Defensa Y Justicia,3.0,0.0,0.0,5.0,0.0,1.0,5,4
1187144,11,Rayo Zuliano,Atletico Paranaense,1.0,5.0,2.0,1.0,,,5,4
1187145,11,Sportivo Luqueno,Coquimbo Unido,0.0,0.0,2.0,3.0,,,6,3
1187146,11,Nacional Potosí,Fortaleza EC,4.0,1.0,2.0,1.0,,,8,2
1187147,11,Cuiaba,Metropolitanos FC,3.0,0.0,1.0,4.0,,,7,4
1187148,11,Sportivo Trinidense,Boca Juniors,1.0,2.0,6.0,2.0,1.0,0.0,1,8
1187149,11,Belgrano Cordoba,Delfin SC,1.0,1.0,4.0,4.0,1.0,0.0,4,3
1187150,11,RB Bragantino,Racing Club,2.0,1.0,1.0,3.0,,,4,9
1187151,11,Deportivo Garcilaso,Lanus,0.0,2.0,3.0,5.0,,,16,1
1187152,11,Universidad Catolica,Union La Calera,4.0,0.0,0.0,1.0,,,8,2
1187153,11,Racing Montevideo,Nacional Asuncion,2.0,1.0,2.0,2.0,,,5,3
1187154,11,Defensa Y Justicia,Independiente Medellin,1.0,1.0,4.0,5.0,,,10,0
1187155,11,Sportivo Ameliano,Rayo Zuliano,1.0,0.0,0.0,1.0,,,6,3
1187156,11,Corinthians,Argentinos JRS,4.0,0.0,1.0,2.0,,,6,3
1187157,11,Nacional Potosí,Sportivo Trinidense,2.0,1.0,3.0,2.0,,,8,1
1187158,11,Lanus,Metropolitanos FC,5.0,0.0,0.0,2.0,0.0,1.0,10,3
1187159,11,Belgrano Cordoba,Real Tomayapo,1.0,0.0,1.0,1.0,,,9,3
1187160,11,Atletico Paranaense,Danubio,1.0,2.0,3.0,3.0,,,10,2
1187161,11,Cuiaba,Deportivo Garcilaso,1.0,1.0,0.0,4.0,,,9,4
1187162,11,Boca Juniors,Fortaleza EC,1.0,1.0,4.0,3.0,,,10,4
1187163,11,Cesar Vallejo,Always Ready,2.0,2.0,2.0,0.0,,,8,7
1187164,11,Internacional,Delfin SC,1.0,0.0,2.0,2.0,,,6,7
1187165,11,Racing Club,Coquimbo Unido,3.0,0.0,3.0,2.0,0.0,1.0,4,3
1187166,11,Sportivo Luqueno,RB Bragantino,2.0,3.0,2.0,3.0,,,6,10
1187167,11,Cruzeiro,Union La Calera,1.0,0.0,1.0,1.0,,,4,5
1187168,11,Universidad Catolica,Alianza Petrolera,0.0,0.0,5.0,5.0,1.0,1.0,9,2
1187169,11,Argentinos JRS,Nacional Asuncion,2.0,1.0,3.0,4.0,,,4,0
1187170,11,Corinthians,Racing Montevideo,3.0,0.0,2.0,2.0,,,10,4
1187171,11,Coquimbo Unido,RB Bragantino,1.0,1.0,4.0,3.0,,,5,3
1187172,11,Racing Club,Sportivo Luqueno,3.0,0.0,3.0,3.0,,,5,3
1187173,11,Internacional,Belgrano Cordoba,1.0,2.0,0.0,4.0,,,7,0
1187174,11,Delfin SC,Real Tomayapo,4.0,3.0,0.0,1.0,,,5,5
1187175,11,Lanus,Cuiaba,0.0,1.0,3.0,4.0,,,9,6
1187176,11,Metropolitanos FC,Deportivo Garcilaso,1.0,1.0,3.0,5.0,,,4,3
1187177,11,Defensa Y Justicia,Cesar Vallejo,0.0,1.0,,,1.0,0.0,3,4
1187178,11,Independiente Medellin,Always Ready,4.0,0.0,3.0,5.0,,,1,2
1187179,11,Boca Juniors,Nacional Potosí,4.0,0.0,1.0,1.0,,,8,0
1187180,11,Fortaleza EC,Sportivo Trinidense,2.0,1.0,,,,,5,3
1187181,11,Atletico Paranaense,Sportivo Ameliano,0.0,1.0,1.0,3.0,,,9,4
1187182,11,Danubio,Rayo Zuliano,0.0,0.0,2.0,2.0,,,6,2
1187183,11,Cruzeiro,Universidad Catolica,1.0,0.0,0.0,1.0,,,9,4
1187184,11,Union La Calera,Alianza Petrolera,0.0,1.0,1.0,2.0,,,2,3
1202641,11,Barcelona SC,RB Bragantino,1.0,1.0,3.0,2.0,,,6,0
1202642,11,RB Bragantino,Barcelona SC,3.0,2.0,2.0,2.0,,,3,9
1202643,11,Cerro Porteno,Atletico Paranaense,1.0,1.0,3.0,4.0,,,4,8
1202644,11,Atletico Paranaense,Cerro Porteno,2.0,1.0,3.0,3.0,1.0,1.0,7,2
1202645,11,Palestino,Cuiaba,1.0,1.0,2.0,3.0,,,5,1
1202646,11,Cuiaba,Palestino,1.0,2.0,2.0,6.0,,,11,2
1205344,11,Rosario Central,Internacional,1.0,0.0,2.0,2.0,,,5,4
1205345,11,Internacional,Rosario Central,1.0,1.0,2.0,2.0,,,11,0
1205346,11,Huachipato,Racing Montevideo,2.0,3.0,2.0,4.0,,,11,4
1205347,11,Racing Montevideo,Huachipato,0.0,1.0,3.0,1.0,,,8,6
1205348,11,Libertad Asuncion,Universidad Catolica,2.0,0.0,1.0,3.0,,,8,5
1205349,11,Universidad Catolica,Libertad Asuncion,1.0,1.0,0.0,3.0,,,7,3
1205350,11,Independiente del Valle,Boca Juniors,0.0,0.0,1.0,2.0,,,10,2
1205351,11,Boca Juniors,Independiente del Valle,1.0,0.0,2.0,3.0,1.0,0.0,3,0
1205352,11,LDU de Quito,Always Ready,3.0,0.0,2.0,1.0,,,4,3
1205353,11,Always Ready,LDU de Quito,3.0,1.0,2.0,3.0,,,6,1
1261152,11,RB Bragantino,Corinthians,1.0,2.0,1.0,2.0,,,9,5
1261153,11,Corinthians,RB Bragantino,1.0,2.0,1.0,3.0,,,4,7
1261154,11,Boca Juniors,Cruzeiro,1.0,0.0,2.0,5.0,,,7,0
1261155,11,Cruzeiro,Boca Juniors,2.0,1.0,4.0,6.0,0.0,1.0,5,2
1261156,11,Rosario Central,Fortaleza EC,1.0,1.0,4.0,4.0,,,8,3
1261157,11,Fortaleza EC,Rosario Central,3.0,1.0,4.0,2.0,,,1,2
1261158,11,Huachipato,Racing Club,0.0,2.0,1.0,1.0,,,0,7
1261159,11,Racing Club,Huachipato,6.0,1.0,0.0,2.0,,,8,3
1261160,11,Libertad Asuncion,Sportivo Ameliano,1.0,1.0,3.0,5.0,,,11,0
