fixture_id,league_id,season,round,home_team,away_team,goals_home,goals_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,corner_kicks_home,corner_kicks_away
1187254,13,2024,Group Stage - 5,The Strongest,Huachipato,4.0,0.0,1.0,6.0,0.0,1.0,7,3
1187255,13,2024,Group Stage - 5,Deportivo Tachira FC,Club Nacional,0.0,1.0,2.0,6.0,1.0,0.0,0,1
1187256,13,2024,Group Stage - 5,Gremio,Estudiantes L.P.,1.0,1.0,3.0,4.0,,,5,9
1187257,13,2024,Group Stage - 5,Alianza Lima,Colo Colo,1.0,1.0,3.0,5.0,0.0,2.0,2,2
1187258,13,2024,Group Stage - 5,Flamengo,Bolívar,4.0,0.0,1.0,2.0,,,5,5
1187259,13,2024,Group Stage - 5,Palmeiras,Independiente del Valle,2.0,1.0,0.0,2.0,,,3,3
1187260,13,2024,Group Stage - 5,Rosario Central,Caracas FC,4.0,1.0,1.0,1.0,,,3,1
1187261,13,2024,Group Stage - 5,Fluminense,Cerro Porteno,2.0,1.0,1.0,4.0,0.0,1.0,7,0
1187262,13,2024,Group Stage - 5,San Lorenzo,Liverpool Montevideo,3.0,2.0,5.0,4.0,0.0,1.0,4,2
1187263,13,2024,Group Stage - 5,Sao Paulo,Barcelona SC,0.0,0.0,1.0,3.0,,,8,5
1187264,13,2024,Group Stage - 5,Universitario,Botafogo,0.0,1.0,2.0,2.0,,,11,0
1187265,13,2024,Group Stage - 6,Junior,Botafogo,0.0,0.0,3.0,2.0,0.0,1.0,4,4
1187266,13,2024,Group Stage - 6,LDU de Quito,Universitario,2.0,0.0,1.0,2.0,0.0,1.0,5,3
1187267,13,2024,Group Stage - 6,Atletico-MG,Caracas FC,4.0,0.0,4.0,0.0,0.0,1.0,7,1
1187268,13,2024,Group Stage - 6,Penarol,Rosario Central,2.0,1.0,5.0,3.0,,,2,5
1187269,13,2024,Group Stage - 6,Bolívar,Palestino,3.0,1.0,1.0,2.0,,,6,2
1187270,13,2024,Group Stage - 6,Flamengo,Millonarios,3.0,0.0,0.0,1.0,1.0,0.0,6,1
1187271,13,2024,Group Stage - 6,Estudiantes L.P.,Huachipato,3.0,4.0,6.0,5.0,,,6,4
1187272,13,2024,Group Stage - 6,Gremio,The Strongest,4.0,0.0,1.0,3.0,,,10,4
1187273,13,2024,Group Stage - 6,Cerro Porteno,Colo Colo,1.0,1.0,2.0,3.0,1.0,0.0,6,3
1187274,13,2024,Group Stage - 6,Fluminense,Alianza Lima,3.0,2.0,6.0,1.0,,,4,9
1187275,13,2024,Group Stage - 6,Sao Paulo,Talleres Cordoba,2.0,0.0,3.0,4.0,0.0,1.0,5,1
1187276,13,2024,Group Stage - 6,Barcelona SC,Cobresal,2.0,1.0,1.0,1.0,,,2,2
1187277,13,2024,Group Stage - 6,Independiente del Valle,Liverpool Montevideo,2.0,1.0,1.0,4.0,,,14,3
1187278,13,2024,Group Stage - 6,Palmeiras,San Lorenzo,0.0,0.0,1.0,3.0,,,6,1
1187279,13,2024,Group Stage - 6,River Plate,Deportivo Tachira FC,2.0,0.0,0.0,1.0,0.0,1.0,13,1
1187280,13,2024,Group Stage - 6,Libertad Asuncion,Club Nacional,2.0,1.0,5.0,3.0,,,1,9
1202193,13,2024,Round of 16,San Lorenzo,Atletico-MG,1.0,1.0,2.0,0.0,,,1,3
1202194,13,2024,Round of 16,Atletico-MG,San Lorenzo,1.0,0.0,3.0,3.0,,,4,7
1202195,13,2024,Round of 16,Club Nacional,Sao Paulo,0.0,0.0,2.0,4.0,,,4,0
1202196,13,2024,Round of 16,Sao Paulo,Club Nacional,2.0,0.0,2.0,2.0,,,2,4
1202197,13,2024,Round of 16,Flamengo,Bolívar,2.0,0.0,2.0,1.0,,,12,1
1202198,13,2024,Round of 16,Bolívar,Flamengo,1.0,0.0,1.0,3.0,1.0,0.0,8,3
1202199,13,2024,Round of 16,Colo Colo,Junior,1.0,0.0,3.0,4.0,,,6,2
1202200,13,2024,Round of 16,Junior,Colo Colo,1.0,2.0,1.0,3.0,1.0,0.0,2,3
1202201,13,2024,Round of 16,Talleres Cordoba,River Plate,0.0,1.0,2.0,3.0,1.0,0.0,0,3
1202202,13,2024,Round of 16,River Plate,Talleres Cordoba,2.0,1.0,1.0,2.0,,,5,7
1202203,13,2024,Round of 16,Botafogo,Palmeiras,2.0,1.0,3.0,3.0,,,4,1
1202204,13,2024,Round of 16,Palmeiras,Botafogo,2.0,2.0,1.0,5.0,,,9,1
1203722,13,2024,Round of 16,Penarol,The Strongest,4.0,0.0,1.0,3.0,,,8,3
1203723,13,2024,Round of 16,The Strongest,Penarol,1.0,0.0,3.0,3.0,,,9,1
1203724,13,2024,Round of 16,Gremio,Fluminense,2.0,1.0,2.0,3.0,1.0,0.0,4,6
1203725,13,2024,Round of 16,Fluminense,Gremio,2.0,1.0,5.0,3.0,,,7,2
1294399,13,2024,Quarter-finals,Fluminense,Atletico-MG,,,0.0,0.0,0.0,0.0,0,0
1294400,13,2024,Quarter-finals,Atletico-MG,Fluminense,,,0.0,0.0,0.0,0.0,0,0
1294401,13,2024,Quarter-finals,Colo Colo,River Plate,,,0.0,0.0,0.0,0.0,0,0
